Date;CHANGINS - Température moy. +2 m (°C);CHANGINS - Précipitations tot. (mm ou litres/m2);CHANGINS - Rayonnement (W/m2);CHANGINS - ETo - PenMon
01.01.2025;0.1;0.1;63;0.6
02.01.2025;6;14;34;0.6
03.01.2025;2.6;0.2;83;0.9
04.01.2025;0.1;9.5;32;0.3
05.01.2025;8.3;9.4;47;0.6
06.01.2025;9.4;11.8;15;0.5
07.01.2025;5.9;0.9;46;0.6
08.01.2025;8.9;6.4;17;0.4
09.01.2025;8.1;14.6;13;0.4
10.01.2025;1.6;3.9;18;0.2
11.01.2025;2;1.7;72;0.9
12.01.2025;0.4;0;95;1
13.01.2025;-0.7;0;91;0.9
14.01.2025;-2.1;0;85;0.7
15.01.2025;0.7;0;86;0.9
16.01.2025;2.5;0;28;0.3
17.01.2025;0.8;0;37;0.3
18.01.2025;0.2;0;42;0.3
19.01.2025;0;0;44;0.3
20.01.2025;0.7;0;33;0.2
21.01.2025;0.4;0;23;0
22.01.2025;2.5;0.1;26;0.1
23.01.2025;6.6;5.6;69;0.9
24.01.2025;6.3;0;74;1.3
25.01.2025;12.2;0;77;1.6
26.01.2025;7.1;0.1;80;1.1
27.01.2025;8.3;20.4;13;0.3
28.01.2025;5.7;16.5;60;0.8
29.01.2025;6;9.2;100;1.3
30.01.2025;5.5;1;33;0.3
31.01.2025;5.5;0.3;40;0.4
01.02.2025;4.3;0;40;0.5
02.02.2025;2.8;0;56;0.6
03.02.2025;2;0;48;0.5
04.02.2025;1.5;0;84;0.7
05.02.2025;1.1;0;98;0.8
06.02.2025;1.5;0;23;0.3
07.02.2025;1.6;0;80;0.7
08.02.2025;2;0;57;0.6
09.02.2025;4.2;0;87;0.9
10.02.2025;5;6.3;36;0.2
11.02.2025;7.3;0.6;25;0.2
12.02.2025;6.2;0;39;0.3
13.02.2025;7;8.6;22;0.2
14.02.2025;2.4;0;141;1.4
15.02.2025;0.4;0;134;1.2
16.02.2025;1.4;0;134;1.2
17.02.2025;1.3;0;71;0.6
18.02.2025;1.8;0;78;0.7
19.02.2025;2.8;0;72;0.7
20.02.2025;6.1;2.8;113;1.1
21.02.2025;6.1;0;117;1.1
22.02.2025;7.5;2.8;53;0.6
23.02.2025;8.4;2.9;62;0.6
24.02.2025;7.8;0;63;0.6
25.02.2025;8.3;1.7;49;0.7
26.02.2025;5;1;124;1.5
27.02.2025;5.6;0;100;1.3
28.02.2025;4.7;0;166;1.9
01.03.2025;4.7;0;156;1.6
02.03.2025;4.2;0;152;1.6
03.03.2025;3.7;0;174;1.8
04.03.2025;5.9;0;182;2.2
05.03.2025;6.5;0;184;2.3
06.03.2025;7.3;0;173;2.4
07.03.2025;7.8;0;193;2.5
08.03.2025;8.4;0;161;2.4
09.03.2025;10.2;0;167;2.4
10.03.2025;11.1;1.8;181;2.5
11.03.2025;9.7;0.5;137;1.8
12.03.2025;8;5.9;84;1
13.03.2025;6.8;1.2;159;1.9
14.03.2025;5.1;1.6;112;1.2
15.03.2025;4.7;4.3;51;0.6
16.03.2025;3.7;5.9;88;0.9
17.03.2025;5.3;0;62;0.7
18.03.2025;5.4;0;199;2.1
19.03.2025;7.4;0;216;2.5
20.03.2025;9.5;0;197;2.6
21.03.2025;11.1;0;140;2.1
22.03.2025;12.6;0;114;1.9
23.03.2025;11.2;0;215;3
24.03.2025;11.3;0.4;146;2
25.03.2025;11.1;0;205;2.8
26.03.2025;11;0;175;2.3
27.03.2025;10;0;168;2.1
28.03.2025;9.8;0;198;2.6
29.03.2025;10.2;0;108;1.6
30.03.2025;11.4;0;250;3.6
31.03.2025;10.8;0;257;3.4
01.04.2025;8.4;0;231;2.8
02.04.2025;9.3;0;211;2.8
03.04.2025;11.2;0;244;3.5
04.04.2025;12.8;0;252;3.6
05.04.2025;14.3;0;257;4
06.04.2025;13.4;0;270;4.1
07.04.2025;9.4;0;273;3.8
08.04.2025;9.9;0;270;3.8
09.04.2025;11.8;0;252;3.7
10.04.2025;14.1;0;278;4.4
11.04.2025;13.2;0;277;4.3
12.04.2025;12.6;0;154;2.6
13.04.2025;12.1;8.9;53;0.8
14.04.2025;14.1;0.7;230;3.1
15.04.2025;14.4;6.1;162;2.3
16.04.2025;9.4;28.6;39;0.3
17.04.2025;7.3;16.3;76;0.8
18.04.2025;9.4;0;292;3.4
19.04.2025;11.4;0;276;3.6
20.04.2025;11.6;1.6;229;2.8
21.04.2025;11.3;2.1;186;2.3
22.04.2025;12.9;0;250;3.5
23.04.2025;11.4;2.7;120;1.7
24.04.2025;10.4;1;125;1.6
25.04.2025;11.7;0;261;3.3
26.04.2025;12.8;0;273;3.5
27.04.2025;14.3;2.8;222;2.9
28.04.2025;14.6;0;298;4.2
29.04.2025;16.5;0;308;4.7
30.04.2025;17.1;0;306;4.9
01.05.2025;18.1;0;312;5.1
02.05.2025;18.9;0;278;4.7
03.05.2025;16.9;7;164;2.5
04.05.2025;15;17.3;160;2.1
05.05.2025;10.2;2.7;122;1.4
06.05.2025;9.4;0;127;1.5
07.05.2025;9.6;2.7;64;0.8
08.05.2025;11.7;0;208;2.6
09.05.2025;12.3;0.1;284;3.5
10.05.2025;13.5;0;314;4.4
11.05.2025;15.2;16.5;289;4.2
12.05.2025;12.8;0.1;140;1.6
13.05.2025;13;0;311;4
14.05.2025;15.3;0;303;4.3
15.05.2025;16.3;0;298;4.6
16.05.2025;15.1;0;337;5.2
17.05.2025;14.6;0;274;4.2
18.05.2025;15.5;0;324;4.9
19.05.2025;15.2;2.8;213;3.3
20.05.2025;14.3;4.6;100;1.3
21.05.2025;15.6;0.8;170;2.5
22.05.2025;11.9;12.5;110;1.4
23.05.2025;11.7;0;185;2.5
24.05.2025;13;0;325;4.5
25.05.2025;16.8;0;207;3.2
26.05.2025;16.3;2.7;251;3.5
27.05.2025;16.3;0;274;4
28.05.2025;15.2;1.1;122;2
29.05.2025;17;0;325;5
30.05.2025;19.6;0;333;5.7
31.05.2025;21;0.1;256;4.4
01.06.2025;20.4;5;219;4
02.06.2025;17.8;20.2;106;1.5
03.06.2025;18.9;0.1;194;3.1
04.06.2025;17.3;8.1;143;2.2
05.06.2025;17.5;0.9;162;2.4
06.06.2025;19.3;2.6;166;2.7
07.06.2025;17.5;10.3;116;1.7
08.06.2025;18.2;0;315;4.9
09.06.2025;16.9;0;324;4.8
10.06.2025;18.9;0;299;5.1
11.06.2025;20.5;0;321;5.3
12.06.2025;21.6;0;298;5
13.06.2025;24.6;0;315;5.7
14.06.2025;24.8;0;314;5.8
15.06.2025;22.2;6.4;233;4.2
16.06.2025;20.2;0;329;5.1
17.06.2025;21.3;0;340;5.7
18.06.2025;22;0;326;5.4
19.06.2025;23.2;0;324;5.6
20.06.2025;23.9;0;318;5.7
21.06.2025;23.2;0;293;5.2
22.06.2025;23.6;0;324;6
23.06.2025;25.4;1;262;4.7
24.06.2025;23.7;0;333;6.3
25.06.2025;24;0;327;6.7
26.06.2025;24.1;0;221;4.2
27.06.2025;23.4;0;280;5
28.06.2025;25;0;329;5.9
29.06.2025;26.4;0;324;6.2
30.06.2025;26.1;0;282;5.5
01.07.2025;25.8;0;326;6.1
02.07.2025;25.3;0;327;6.4
03.07.2025;26.1;0;294;5.5
04.07.2025;23.8;5.7;326;5.4
05.07.2025;24.2;0;332;6.2
06.07.2025;19.6;1.4;117;2.6
07.07.2025;16.9;8.1;171;2.7
08.07.2025;14.4;0.9;179;2.7
09.07.2025;16;0;335;4.9
10.07.2025;19.8;0;335;5.6
11.07.2025;21.5;0;327;5.7
12.07.2025;22.5;0;316;5.5
13.07.2025;21.8;7.1;220;4
14.07.2025;22.5;6.5;274;4.8
15.07.2025;21.9;1.1;252;4.3
16.07.2025;21.1;0;245;4.5
17.07.2025;22.5;0;322;5.4
18.07.2025;22.3;0;309;5.6
19.07.2025;20.3;6.7;146;2.5
20.07.2025;21.2;0.7;231;4.1
21.07.2025;19.4;4.9;233;3.8
22.07.2025;20.4;0.1;323;5.3
23.07.2025;19.1;0;226;3.8
24.07.2025;19.5;1.4;246;4
25.07.2025;17.9;1.1;266;4
26.07.2025;18.6;5.6;162;2.6
27.07.2025;18.5;5.9;227;3.6
28.07.2025;16.1;4.2;92;1.4
29.07.2025;17.3;0.4;221;3.6
30.07.2025;18;0.1;208;3.4
31.07.2025;20;0.1;263;4.3
01.08.2025;20.8;0;247;4.3
02.08.2025;19.1;0;249;4.2
03.08.2025;17.5;0;212;3.5
04.08.2025;18.9;0;275;4.8
05.08.2025;21.7;0;270;4.9
06.08.2025;19.6;0;237;4
07.08.2025;21.8;0;306;5.8
08.08.2025;24.4;0;295;6
09.08.2025;26;0;289;5.7
10.08.2025;26.7;0;293;5.8
11.08.2025;25.6;0;289;5.3
12.08.2025;26.3;0;281;5.6
13.08.2025;27.7;0;270;5.9
14.08.2025;27;0;267;5.5
15.08.2025;23.6;1.9;196;4.2
16.08.2025;25.3;0.1;274;5.3
17.08.2025;24.4;0;260;4.7
18.08.2025;23.1;0;285;5.1
19.08.2025;20.9;0.2;113;2.2
20.08.2025;17.9;3.5;73;1
21.08.2025;17.9;5.4;131;2
22.08.2025;18.9;1.8;247;3.9
23.08.2025;18.5;0;256;4
24.08.2025;18.4;0;279;4.6
25.08.2025;19.3;0;260;4.4
26.08.2025;20.8;1.3;234;4.4
27.08.2025;20.9;0.4;159;2.6
28.08.2025;18.3;27.5;117;1.7
29.08.2025;15.9;4.9;186;2.8
30.08.2025;15.8;3.5;190;2.8
31.08.2025;17.8;0;261;4
01.09.2025;16;44.9;107;1.5
